Wave,Theme,Start,End,Ad spend USD,Ad spend JOD,Conversations,Shirts sold,JOD per shirt,Notes
1,Current carousel (English),2026-08-01,2026-08-10,7.25,5.14,8,,,"Live. Fill shirts from order emails dated Aug 1-10. Figures as of Aug 4."
2,Anime,2026-08-11,2026-08-17,,,,,,"Check: goal=CONVERSATIONS, $5/day, end date set, Instagram Direct"
3,Gym,2026-08-18,2026-08-24,,,,,,"Check: goal=CONVERSATIONS, $5/day, end date set, Instagram Direct"
4,Streetwear or Heritage,2026-08-25,2026-08-31,,,,,,"Check: goal=CONVERSATIONS, $5/day, end date set, Instagram Direct"
,,,,,,,,,
PACE,,,,,,,,,
Checkpoint,Shirts needed,,,,,,,,
Aug 10,16,,,,,,,,
Aug 17,27,,,,,,,,
Aug 24,38,,,,,,,,
Aug 31,48,,,,,,,,
,,,,,,,,,
REFERENCE,,,,,,,,,
Month,Ad spend USD,Shirts sold,JOD per shirt,Net,,,,,
Mar 2026,144,11,9.20,-598,,,,,
Apr 2026,115,46,1.77,-252,,,,,
May 2026,133,48,1.96,73,,,,,
Jun 2026,100,46,1.54,8,,,,,
Jul 2026,173,22,5.58,-219.5,,,,,
